Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccDiff,Att8EstSQRT,EbaccActSQRT
2.9,1.21,2.2,3,0.76,1.3,3,1.65,0.7,1.28,1.3038404810405297,1.4142135623730951
6.6,0.74,6,7,1.03,5.9,7,1.13,5.6,-0.08,2.4083189157584592,2.345207879911715
4.8,-0.11,5.3,5.5,0.24,4.8,7,2.15,4.5,-2.51,2.2135943621178655,1.4142135623730951
3.8,0.94,3.4,4,0.63,2.8,3,0.24,1.8,0.9,1.6733200530681511,1.6431676725154984
4.4,0.64,4.2,4,-0.16,3.7,5.5,1.82,2.9,1.09,1.9235384061671346,2
1.1,-0.92,2.6,1.5,-1.11,1.8,0,-1.76,1,-0.64,1.4142135623730951,0.5477225575051661
2.3,-1.62,4.3,2,-2.31,3.8,3,-0.81,3.1,-2.78,1.9748417658131499,0.5477225575051661
2.7,-1.06,4.2,3,-1.16,3.7,3,-0.68,2.9,-2.41,1.9235384061671346,0.7071067811865476
3.4,0.09,3.8,4,0.18,3.3,4,0.7,2.4,-1.39,1.816590212458495,1
3.7,1.13,3.1,5.5,2.39,2.4,3,0.6,1.4,-0.45,1.5811388300841898,1
4,0.08,4.3,5.5,1.19,3.8,4,0.19,3.1,-1.78,1.9748417658131499,1.140175425099138
2,-3.09,5.4,2,-3.37,5,3,-2.04,4.7,-4.03,2.258317958127243,0.8366600265340756
1.6,-0.77,2.9,2,-0.93,2.2,2,-0.2,1.3,-1.27,1.5491933384829668,0
3.1,-1.09,4.6,4,-0.56,4.1,3,-1.09,3.5,-1.65,2.0248456731316584,1.3416407864998738
1.3,-2.46,4.2,1,-3.16,3.7,2,-1.68,2.9,-2.58,1.9235384061671346,0.5477225575051661
2.5,-2.15,5,2,-3.01,4.6,4,-0.57,4.2,-3.49,2.16794833886788,0.8366600265340756
5.5,-0.64,6.2,7,0.77,6.3,5.5,-0.78,6,-0.98,2.4698178070456938,2.23606797749979
